"id","Mark","Text",
"13","-","Что не так с этим фильмом?
Гениальная задумка, роскошная музыка и прекрасные актеры стали заложниками очень посредственного сценария.
Главная злая героиня (ведьма) — ни о чем. Ее брат — подозрительно напоминает роботов-убийц мутантов из «Людей Икс: Дни минувшего будущего».
Очень позитивное впечатление от «Бетмена против Супермена» на наследие которого и претендует данный фильм скорей испорчено.
Вообще, когда шли на этот фильм, ожидали аналог «Стражей галактики» — тонкий юмор, хороший сюжет и прекрасную графику. Тут этого нет, как и нет позитивного впечатления от фильма.
Увы, но ожидание были намного-намного выше…",
"14","-","Джаред Лето, для меня стал главным разочарованием фильма. А сам фильм претендует на звание разочарование года. Джаред хорошо смотрелся в «Далласком клубе миллионеров» когда играл трансвестита, но Джокер в его исполнении тоже получился каким-то гейским и пафосным. Кто-то вообще может вспомнить чтобы «предыдущие версии» Джокера обнимали и гладили по лицу мужиков? Объятий было много и зловещий смех на фоне всего этого смотрелся ой как не органично. Не хватило бывалой энергичности и непредсказуемости персонажа.
А вот Харли Квин персонаж новый, не знаешь чего от нее ожидать, но вот как так получилось что после того как в самом начале зрителю продемонстрировали её акробатические способности- весь остаток фильма она махала битой?
Вилла Смита журить не за что отработал на все сто.
Остальные роли были мелковаты чтоб понять их истории и оценить игру актеров…
Обобщая все могу сказать что по моему мнению фильм относится к тем картинам в которых обертка (трейлер) красивее содержимого.",
"15","6","Пол фильма раскрывали характеры персонажей, в итоге оказалось, что у них нет причины дружить, а про двоих героев вообще забыли. Но сами персонажи воплощены неплохо. Хотя новый Джокер просто жалок на фоне эталона от Хита Леджера. Оставшаяся часть сюжета с основным действом тоже хромает на обе ноги. Даже у недавних Мстителей было лучше. А Марвел всех научило, что комикс не обязательно должен быть тупой. Диалоги не проработаны от слова совсем. Все старания ушли на попытки напихать в них немного слабенького юмора. Дракам/перестрелкам тоже не повезло. И не зрелищно и не правдоподобно с точки зрения шансов выжить. Сцена после титров — нормально. Но фильм — не полный отстой. Посмотреть можно. Даже в кинотеатре стоит, так как многие события происходят в полумраке. А вот в 3D-формате смысла нет.",
"16","1","Первые минуты фильма были обнадеживающими, ровно до начала раскрытия персонажей Робби и Лето, с этого момента начался сумбур в постановке и сюжетной линии. Возможно в этом виноват не режиссер а те, кто его заставили переделать фильм (как многие пишут), но это худший фильм по комиксам из тех что я видел за последние 10 лет. В Бэтмене против Супермена есть свои недочеты, но они с лихвой компенсируются Снайдеровской атмосферой, постановкой и развязкой фильма (разве что Чудо-женщина была лишней). В «Отряде» лишние были все, кроме Дэдшота, Харли, и Аманды Уоллер, даже эпизодическая роль Бэтмена была более харизматичной, чем роли всех остальных героев вместе взятых. Джокер в этом фильме был каким то бельмом на глазу с бессмысленным поведением и репликами. Кто-то писал, что фильм не понравился многим из-за непохожести на комиксы, но я как раз считаю, что фильм плох как раз своей непохожестью на фильм, такое чувство что его снимали для нарезки фанатами на кадры, но связь между этими кадрами установить забыли. Злодеи фильма это отдельный минус, бегающие невнятные то-ли зомби, то-ли кучи навоза с непонятно какими способностями, тормознутые главные злодеи (к главным героям это тоже относится). В общем с таким бюджетом, актерами, в век компьютерных технологий, снять ТАКОЕ, это надо «суметь». 1 из 10, 0,5 за Смита, который выглядел единственным адекватным участником команды и 0,5 за Робби, которая по задумке наверное должна была частично вносить свою долю изюма, а по факту вытягивала своим поведением минимум пол фильма (за исключением эпизодов с Джокером).",
"17","7","Эх, всё-таки придётся взять на себя ответственность за негативную рецензию на столь нашумевший фильм. 
Искренне жаль, что уходила с сеанса без капли воодушевления и не было привычного желания прочесть всё о героях, съёмках и с головой окунуться в этот мир.
Сюжет — банален до не могу, в какой-то момент становится просто смешно — неужели до сих пор используют столь заезженные фразы и темы? То чувство, когда на экране чёрт знает что творится, а стыдно почему-то тебе. 
Жаль, что не оправдал себя и Джокер, получившийся больше похожим на сутенёра. К нему же и совершенно нескладная Ведьма… Очень уж всё по-детски и до жути наивно.
Единственное, что понравилось — это Харли, выбор Марго Робби на эту роль — 100% попадание. 
Это было ярко, громко, в чём-то мощно.. но ужасно пусто и посредственно, что в наше время повышенной концентрации фильмов, снятых по комиксам, непростительно аж никак. ",
"18","6","Начиная писать эту рецензию, я подумал как такое вообще можно было снять.
Неужели так трудно сделать персонажей живыми и эмоциональными. Как мы им должны сопереживать. Тут нам и крокодилы, и отцы-одиночки, и австралиец с бумерангами. Вся эта команда должна остановить банального злодея, которого сами же и создали. 
Но стоит отметить несколько отличных моментов, слабо представляя каким мог бы быть этот фильм. Бэтмен и Флеш тизерят Лигу, Дэдшот признается своей дочке, что он убийца, а главное открытие фильма, единственный понятный персонаж Эль Диябло раскаивается в содеянном им убийстве своей семьи.
Режиссер посчитал, что это ненужный и пустой момент и удалил при монтаже.
Также новый Джокер теперь не такой опасный и непредсказуемый, как в прошлых фильмах, а обычный сдвинутый на голову бандит, который раздражает своим появлением. Но его подружка, в исполнении Марго Робби вышла на все 10 баллов. Хороший и запоминающийся герой.",
"19","1","Мой первый комментарий о фильме. И очень жаль, что он оказался чересчур отрицательным. Постараюсь изложить свои мысли максимально кратко и ясно лицам, которым, может быть, ещё предстоит посетить этот «ошеломляющий сюжетом» блокбастер. Итак, если Вы не страстный фанат комиксов о супергероях или злодеях в красивых костюмах, даже не думайте идти на «Отряд самоубийц». Почему? Потому что у данной картины нет ни одного плюса, кроме нарядных «клоунов», которые как-то пытаются рассмешить зрителя примитивными американскими шутками, не вызывающими даже улыбки (как по мне, сомнительный плюс). Что касается истории, то она нудная, действия персонажей предсказуемы, многие сцены (не хочу сполейрить) не укладываются в голове, они нелогичны (мозг начинает кипеть от такой глупой задумки сценариста!!!). 
И ещё добавлю, что на середине «захватывающего интерес» фильма многие в зале обращали внимание не на происходящее на экране, а на множество пасхалок из картин Marvel, DC или на попку Харли Квинн, за которую я и ставлю оценку 1/10. ",
"20","-","Я считаю, что «Отряд самоубийц» — кино, опережающее время. 
Персонажи номинально считаются отрицательными, но поданы в таком ключе, что становятся тебе симпатичными. Мы все на этой бренной земле далеко не херувимы и наш статус в обществе может не соответствовать действительности. А вертопрахи нарочито суют нам палки в колеса. Исходя из увиденного в фильме, можно с уверенностью сказать, что в мире нет совершенно плохих людей, есть плохие поступки, пятнающие имя наше. И возникающий внутренний конфликт, терзающий вопросом «а можно ли всё исправить и хватит ли мне на это силы воли?»
Великий фильм. Я не знаю, что они за кислоту там едят, но прятать такие глубокие смыслы в казалось бы совершенно абсурдную банальщину… На это способны только совершенные умы нашего времени. Благодаря этим людям с уверенностью можно заявить, что переход от человека разумного к сверхчеловеку ницше начинает свершаться.",
"21","1","Just awful -horrible dialogue, zero premise. Stereotype Squad as far as characters concerned...in particular the Asian 'character' which was obviously a laughably cynical afterthought and the Boomerang Joe or Pete (I didn't care) - I mean, come on! Will Smith seemed embarrassed or wincing delivering his lines -hard to tell -and as for Jared Leto's OTT indulgent 'acting' -sheesh. Margot Robbie was probably only one whose character had a few good lines. Sad to see the otherwise incredible actress from Secrets and Lies reduced to the ridiculous boss character. The CGI was awful, particularly the monster at the end. Didn't make me feel anything toward the characters -no emotional resonance whatsoever.",
"22","3","Flat jokes, one-liners and terrible chemistry make up this movie. As usual, we see a group of heroes taking on a legion of mindless alien/zombie/no-named soldiers who have absolutely no chance. There are so many awkward moments in this movie. You don't have to see the movie to know how it will play out and end. The bad guy is lame and uninteresting, who apparently has the power to instantly disarm all of the heroes but doesn't use it until the very end -- when it's too late. I get that they want to show us that she is "powerful", but they just don't know what they are doing. Just terrible.
Save your time and money. There are few memorable things about this movie.",
"23","1","Sloppy scene structure doesn't make good movies. Unconventional characters alone don't make good movies. Bad directing, bad editing, bad CGI, bad acting. If a film fails on every aspect but still is by all means successful, what does that say about it's audience. Lets stop making terrible movies. One-liner, one-dimensional characters with no depth beyond the label of "bad", "evil", "crazy" fill this movie, as a surprisingly congested script attempts to give them backstory. Although comedy is very subjective, jokes in addition to the majority of the dialogue in general is very cringe-worthy. I felt embarrassed whenever anyone spoke. It all make me want to commit suicide squad.",
"24","1","Total waste of space. Further more, a real insult to the comic fans to see their well honed characters in such distorted on-screen characterisations. There has been almost no regard to the source material. The director is armature at best, clumsy and messy most of the time. The only good scene was added by Zack Snyder which stood heads and shoulders above this mediocre film. Avoid. The cast was generally good, though I thought Will Smith looked and sounded like the fresh prince on a Halloween Night special. I would rate this a FF4 type of disaster. not something I would pay to see again or even the first time if I was so forewarned.",
"25","1","a fan made comic book movie ...please don't try to insult people who read comic books. And yess i read DC and Marvel and every other comic that is out there...and trust me this movie has nothing to do with comics except te characters. It is simply as the critics say a terrible movie....i watch the movie til the moment they went in the bar to have a drink and have a thee time!!! I tought i need a drink myself and walked out of the cinema...again this movie is terrible even for comics en dc fans!!the characters were not funny at all there wasnot even one moment in the movie that i tought this is the turning point it was like watching a bad edited movie..done by a high school kids who did his final exam in film making and use the standard bad/good guy formula and dc owed him something like 175 mil dollar",
"26","3","what a disappointment this movie was.i found it boring slow and uninteresting.i struggled to stay awake and debated leaving part way through.Margot Robbie was the best(and only)good thing in the whole movie.there were quite a few good actors here,but nobody can save this thing.and***minor spoiler coming right up***the Joker has very little screen time,which is a shame,because if the character had more screen time,it might have elevated the movie.as it is i wouldn't recommend the movie to anyone.but if you do decide to go see it,you might want to go in with low expectations.for me,Suicide Squad was a real disappointment.i give Suicide Squad a 3/10.",
"27","1","First of all, this is my very first IMDb review, ever. I took to the Internet so that others don't get betrayed like me. Really boring, cringing and disappointing movie I have watched in quite a while. The only amazing part about the movie is its trailer, and that's it! All, the characters are kinda forced to group up against some illogical $h!t storm that was "accidentally" created. The plotting was really poor, even a 7 or 8 grader could come up with something more appealing. Hope, others don't make the mistake I did. The only thing that took me throughout the movie was the hope of some real action as the movie suggested. People thought Batman vs Superman was bad, well, this one will sure make you thankful for the BvS.",
"28","2","Stupid, repetitive (two helicopters crashes, two of them crashed one after another? what the f...?) and lifeless. DC's version of Guardians of the Galaxy (should i mention that the "You messed with my friends" line is an almost exact copy of the "Nobody messes with my friends" scene from Guardians?) is awful. It sucks, because BvS Ultimate Cut is decent, that's the tone they should've done. It's all just a clusterfuck, i'm sure the movie was better before the reshoots, but guess what? exactly like FOX and Fant4stic, the studio got in the way and made an unwatchable movie that lacks structure and pacing. The third act is the worst thing on earth, as it contains pathetic fight scenes and manipulative "character moments", at least BvS, a movie which also has an awful third act, is never boring even at a three hour runtime. Don't watch this movie if you don't want your brain cells to die.",
"29","3","Not as good as watching someone play Super Mario 3-D World, which is exactly what happened when I watched Suicide Squad. I did not watch all of the movie, but I had someone at work who had watched all of this sh*t movie twice, tell me what happens. I feel like that qualifies me as having seen Suicide Squad. Also Harley Quinn's backstory came off as a little rapey. Like David Ayer could have just written the Harley Quinn character as always subconsciously attracted to the Joker, but instead he wrote it so it reads as though the Joker has Harley gang raped into submission. Why write it that way? How is that better? Oh yeah, directing sucks acting sucks movie was written for sh*t, Suicide Squad officially reviewed.",
"30","2","When I first saw the trailer, I was absolutely excited to watch it. I had started preferring dc to marvel again, I was obsessed with Suicide squad. However, when I finally watched it, I was shocked. It was one of the worst films I have ever seen. The pros of the film were the trailer, characters even the album. However, there were many cheesy parts such as when Harley Quinn (who was probably the best part of the film) put her shirt on and everyone watches her. Also, before Harley Quinn cuts the Enchantresses heart out (who was actually a very weak villain) she quoted, "you messed with my friends." I thought the cast choice was very good. Another disappointing thing was the Joker was not in a lot. I would've expected a Joker vs Suicide squad film where Harley Quinn would've betrayed the team to join Joker. Also, the fact Rick Flag (who I thought Joel Kinnaman portrayed very well) just killed off Slipknot was not entertaining or relevant. He could have offered a lot more, but it was a waste of Adam Beach's time. In the end, I do not recommend it.",
"31","1","Don't know exactly how to sum this up except that Ayer along with Snyder are going to be the death of any decent DCMU series. Wait, they are the death of the DCMU series. This one is worse than "Dawn Of Justice" (though I really liked that flick) in terms of pacing, direction, dialogue, characterization, and plot - what makes it different is the total miscasting of everyone except Marogot Robbie, who would be awesome if they made her less-sexualized and not white trash ICP looking. The only thing that was enjoyable was seeing Batman. Just a shame these rouges are one-dimensional juggalos he has to clean up after.",
"32","1","After 55 minutes i left cinema, this was unwatchable. You can watch 100s movies just like this. It is poor made superhero movie with bad jokes all over the movie.It was about 10+ superhero characters that were prisoners and later they were set free to help war against aliens.
After 1h I was so bored i had to leave cinema. This was some of the worst movies I have ever saw really. I was most annoyed because they tried to make some poor comedy between actions scenes. I can say that I only liked acting of Jared Leto.
Please don't ever make this kind of movies anymore. This was only time I left cineplexx ever in my life.",
"33","1","not trying to spoil the fun here people but I didn't get the hype....The first 45 minutes of this CGI overkill blockbuster is okay. We are introduced to the villains or heroes or whatever label you want to put on these sociopaths then it starts to wear out it's welcome. The characters are never fully developed. To me,it's just a game of who can one up each other with one liners and zingers. I didn't laugh. I did not find the humor in it's constant sarcasm and over the top plot. The Joker seemed to be on bath salts and Harley Quinn just wanted a Manwich meal (her libido was on hyperdrive) No movie needs to be over two hours and the ending credits I'd have to say was the best part of the film. Sorry, I'm not a sheep.",
"34","1","Fair warning: DO NOT SEE SUICIDE SQUAD!!! It's a waste of time and money and they don't deserve anymore than what they've already received. There has been a lot of curiosity of what Jared Leto's portrayal of The Joker would be, and I must tell you that it is without a doubt the worst Joker portrayal of all time. He is only in the movie for a brief amount of time and thank god because every second he was on that screen was pure and utter agony. He technically played a character called The Joker but what i saw was in no shape or form The Joker. Will smith doesn't play dead shot, he plays will smith. Harley Quinn hardly even speaks like Harley Quinn. If your looking for a bright spot in this movie, don't worry, there isn't one. This movie encapsulates everything that's wrong with studio films nowadays. Cater to the young audience who isn't even a fan of the source material. This movie was made to sell Halloween costumes and merchandise. That is all. Try again DC, cause Marvel is kicking your ass.",
"35","1","When I saw the first trailer for this movie, I loved it so much that it made me want to go see it opening night. I can't believe I waited a whole year for this stupid movie. And I'm really mad that I wasted my money on this movie. Doctor Strange and Rogue One are way better then this movie.And even though Suicide Squad won a Oscar, the Oscars are pretty terrible now.",
"36","2","This movie was a mess it's hard for me to say anything positive about it,it had OK cinematography and pacing the effects were OK but it still wasn't good.It tried to embrace the fact that it was a comic book movie but just made a weird jumbled tone of serious and comical.They ruined Harley Quinn's backstory which could've been a movie on its own,speaking of which it suffers from the same thing as batman v superman it tried the shove to much crap in which made it incredibly on focused. The characters were boring and clichéd and some of them completely useless,like killer croc doing nothing but swimming in the climax and "the man that can climb anything" dying.This movie was overall unpleasant to sit through.",
"37","1","The storyline was slow, and the whole movie was built for the 10 years old children to understand whats happening. It was filled with clichés and was not creative at all. I was so disappointed after watching this. I watched this with my friends and they are on the same opinion. The worst Batman / Superman movie ever I think. Ben Affleck was not a good choice for Batman because he is not "blue blooded" enough and was not able to act like them.
Spoiler alert! Why did they need Wonderwoman? She was really unnecessary. (Only for the Hype maybe?!) :/ :/ :/ :/ PS.: Why they did not ask for David Mazouz to play in the first part?",
"38","1","I wanted to love this movie, it had potential to be a great superhero film but it was pretty God awful. The plot was confusing, the cgi was bad, Doomsday appeared WAY TOO EARLY and Superman DIES in his second appearance. And the casting was bad. I mean Jesse Einsberg as Lex Luther? The good things about this was the acting, it was pretty well. Wonder Woman was also AWESOME but overall this is a very poor movie. Save your money for Captain America Civil War instead because it will unfortunately be a lot better than this.
Don't bother seeing this unless your a fan of DC because there is a lot of eye candy and Easter eggs.",
"39","1","Not even worth a review. There really is no spoiler alert outide of what you can see in a trailer, but just in case...
Batman was horribly presented, and so was every other character. The plot was just ridiculous and so was the integration of both villains and hero's. This movie should have never been made with so much extra junk. from wonderwoman, to lex luthor, to the made up villain in this movie they call doomsday (the creation of him in a complete joke). also, what a horrible character to play lex luther. This movie is complete crap. Batman does not use guns, and he does not brand people. Superman could crush the bat suit in this movie.There is nothing to imply that he could not. It's not a special metal. Laslty, the kryptonite spear. Batman literally drops it for anyone to pick up and realizes it half way through the climax in the ending. Louis lane in some freak accident managed to find it, and give it to them. The plot in this story is just the absolute worst in any comic book movie so far. More so than tobey maguire's spiderman, and definitely more so than the ongoing catastrophe they are calling the X-men.",
"40","1","Zack Snyder is the worst director for Superman, he clearly does not understand the character or maybe he does but he has a hidden hate for the character. First of all this is a Batman Movie having a guest appearance of Superman which is also Batman punching bag in fact even Batman left Superman with a scare so maybe the title would have been Scarface Superman. Now going to the movie it has like 80% of blah blah blah scenes which are extremely boring, 0 humor which I think is one of the greatest things Marvel did in their avengers movies, and for the fighting scenes they are also the worst, Dommsday? it looks like the cave troll from Lord of the Rings!!!! Why you have to do that? You have already a doomsday in the comics! why change it? Lex Luthor Zack Snyder had Bryan Cranston, and he hired this Jesse guy???? WHY!!!! and they are paying millions to Zack Snyder, even a 10 year old child would have better ideas, and yes maybe the box office will be huge for this first film as we wanted to see a good movie and we gave it the benefit of the doubt, but after we were literally robbed from our money by a movie that pretended to be a real competitor to the avengers we got a fiasco, will never watch any other film of DC comics unless they change Zack the OVERPAID Snyder!!!! Don't WATCH the movie wait until is in HBO",
"41","1","You don't even need to watch the movie, you can just watch all the trailers and there is all. Nothing surprised, and nothing shines(except wonder woman). If you want the batman to kill somebody, you'd better do some explanation ahead.(the robin suit does give a reason but I just can't feel the emotion! I know he's desperate, i know he's changed, but i just can't feel what he feels from the movie, that's the problem. They want the batman to be dark, but he's not dark from the movie, he's just too normal) This movie shouldn't be the second in the cinema universe, if it's the fourth or fifth movie that should be much better. As a second movie and the one to start a universe, this is so bad.",
"42","1","Spoilers below Clearly this film was just an attempt to make money by having superman and batman in the same film and they didn't even bother to add a plot to the story and just throw each other through buildings. I think everyone knew this film was doomed from the start, for me the worst part of the movie was Jesse eisenberg as lex luthor,the plot of lex was bad enough never mind with having to watch Jesse who is an awful actor ruin One of the greatest villains. I don't think they could of got a worse actor to play lex. watched 2hours of building up to the batman vs superman fight which the film was meant to be about ended within 10 minutes because they have the same mothers name. I'm guessing this film was made for children because no one over the age of 10 should be happy watching this abomination. Just like man of steel there is a city destroying battle yet Lois lane is in the middle of the destruction crying about superman. 2 and a half hours of 30 second scenes and I can't even remember a lot of the story as it was that boring? I feel sorry for anyone over the age of ten rating this film amazing or even average as this film was a train wreck and there is nothing positive in this lazy written story",
