"id","Mark","Text",
"11","10","Only 6 episodes in while writing this review, but wow what a start. Firstly the music and voice acting are seriously good, and the art/animation is top notch, very nice indeed. Then regarding the story line - right from the off we get deep into the scenario, the characters, and their fear. The anime does an amazing job of portraying the characters emotions, you really get the sense of how much of a helpless position the humans are in. Quite a lot has happened already in these first 6 episodes, with already some shocks and unexpected events. Really has been an incredible start to this anime, and that is what I have rated it on, though I have extremely high confidence this one will be one that gets better and better.",
"12","10","I have to give this anime a 10 our of 10! Ever since the first 2 episodes, which was in my opinion one of the best hook-on I have seen, it was very intense and conveyed fear to the viewers very well. Some people complain that it has gotten slow or was boring in some episodes, but I don't think they fully grasp how important each episode is. First I think ever since the first 2 episodes, it made people raise their standards and expected more and more action every time. The show does an amazing job on building character and storytelling in general. I doesn't have to have action all the time just for it to be good. This anime is top-notch! The money and time they invested in this Manga adaption was well done! Excellent! Animation is beautiful! Whatever the effect they use for the Tian's animation is also nice. My next obsession is the soundtracks! I am so glad Hiroyuki Sawano helped worked on it. He is a highly valued music composer that is remarkable at making one of the most epic soundtracks, such as Gundam UC: Unicorn. The Manga's content was a lot more gory, but they adapted it and censored it in a way that did not ruin the story. Voice over is also excellent! Expresses feelings and other emotions strongly and effectively.",
"13","10","I have seen a lot of animes and all kinds of shows and I must say, that the first 6-8 episodes of Attack on Titan, are in my opinion, the pinnacle of anime series so far. The plot, the characters, the animation, the soundtrack...are all top notch. Special mention for the first opening: epic is the word for it. Try and watch the first 5 episodes and you won't be disappointed.",
"14","10","To all the miserable people who have done everything from complain about the dialogue, the budget, the this and the that....who wants to hear it? IF you missed the point of this beyond-beautiful movie, that's your loss. The rest of us who deeply love this movie do not care what you think. I am a thirthysomething guy who has seen thousands of movies in my life, and this one stands in its own entity, in my book. It was not supposed to be a documentary, or a completely factual account of what happened that night. It is the most amazing love story ever attempted. I know that it is the cynical 90's and the millennium has everyone in a tizzy, but come on. Someone on this comments board complained that it made too much money! How lame is that? It made bundles of money in every civilized country on the planet, and is the top grossing film in the planet. I will gladly side with the majority this time around. Okay, cynics, time to crawl back under your rock, I am done.",
"15","9","I avoided watching this film for the longest time. Long before it was even released I had dismissed it as an over-hyped, over-blown, overly romanticized piece of Hollywood schmaltz, and I wanted nothing to do with it. I never watched it in the theatre. I shook my head in disbelief at the 11 Academy Awards - even though I had never seen it. Then I was asked to be a judge at a high school public speaking contest. One of the girls spoke about this movie. "It was so great," she said. "You really felt like you were on the ship." "Nonsense," I thought. I shared my feelings with my fellow judges. One looked at me and said, "you might be right, but if she liked the movie that much maybe she'll want to learn more about the real Titanic. The movie must have done something right to get her so interested." "Well, maybe," thought I. Then it finally appeared on Pay TV. "OK," I thought, "I'll give it a look see." I didn't want to like it - and I didn't. I loved it! What a great movie.
Where to start? First - the directing. My high school public speaking contestant was right. James Cameron does a superb job of creating an almost "you are there" type of atmosphere. The gaiety of life aboard the most elegant ship in the world. The nonchalance as news of the iceberg first spreads; then the rising sense of panic. You don't just watch it; you really do feel it. Then - the performances. The lead performances from Kate Winslet (as Rose) and Leonardo DiCaprio (as Jack) are excellent - Winslet's being the superior, I thought, but both were good. They had their rich girl/poor boy characters down to a perfect "t" I thought. In my opinion, though, stealing the show was Frances Fisher as Rose's mother. She was perfect as the snobby aristocrat, and you could feel the fear and loathing she felt every time she looked at Jack. Then - the details. I'm no expert on the sinking of the Titanic, but I have a reasonable general knowledge, and this film does a super job of recreating the historical details accurately and then weaving them seamlessly around the fictional romance. Very impressive, indeed. Then - the song. Who can watch this movie and not be taken with Celine Dion's performance of "My Heart Goes On."
Problems. Well, the romance was perhaps too contrived, in the sense that I just don't accept that Jack could have moved so effortlessly from steerage to first class. (I know he was invited the first time; but he seems to keep getting into first class without being stopped until he's been there for a while.) The realities of the separation of the social classes were much more realistically portrayed, I thought, when the steerage passengers were going to be left locked down there after the ship hit the iceberg while the first class folks got to enjoy half empty lifeboats. 
A minor quibble, though. This is truly an excellent movie. My only regret is not seeing it in the theatre, where I think it would have been so much more impressive.",
"16","10","This movie re-wrote film history in every way. No one cares what anyone thinks about this movie, because it transcends criticism. Every flaw in the movie is easily overcome by the many amazing things the movie has going for it. It is an extremely beautiful movie, and I doubt many of us will see anything like it again. I've seen it more times than I care to count, and I still become transfixed every time, with a feeling which is hard to describe. One for the ages.",
"17","10","It really physically hurts me when i don't see it in top 250 in IMDb's list.I am from India where the general perception of Hollywood movies are that they are more action oriented big budget entertaining films.We consider our films to be more emotional and poignant.
However this movie is the most heart touching story i have ever seen on screen.I could see people's faces with tears rolling down after departing from the cinema hall.I could hear my father saying " Never knew that these people could make such heart warming movies".Maybe i am going a bit too far.But this is my way of paying tribute to the greatest movie ever made.",
"18","7","
Отряд самоубийц. Максимально распиаренный продукт с претензией на самый лучший фильм этого лета. Вообще надо отметить, что сейчас случился настоящий бум фильмов по комиксам. Каждый 3 фильм в кинотеатре имеет отношение к ним. Отряд самоубийц мне понравился, все было в рамках ожиданий. Шикарный актерский состав состоящий из знатоков своего дела. Говоря о знатоках я имею в виду Уилла Смита и Марго Робби. Они вдвоем тащат весь фильм и именно их персонажи максимально раскрыты. Еще порадовала эпизодическая Бена Аффлека (Бэтмен). Самый сок фильма это его первая часть в котором нам рассказывают про каждого персонажа в отряде. Конечно есть несколько бесполезных *игроков команды*. Самый бестолковый это капитан бумеранг и слипкнот. Их наличие или отсутствие никак не влияет на сюжет и на исход главного сражения. Еще надо отметить шикарную подборку музыки в фильме, которая задает уникальную атмосферу. Графика и спецэффекты на уровне. В центре фильма находятся сами персонажи их их раскрытие, а враги и обстоятельства находятся как бы на втором месте. Очень понравился Джокер в исполнении несравненного Джареда Лето. Хотя эпизодов с ним было мало но это были самые интересные части фильма. Так же звездой фильма была Чародейка в исполнении Кары Делевинь, она тащила на себе нелегкое бремя антагониста. В общем и целом смотреть сей шедевр явно стоит в кинотеатре.",
"19","7","Не могу сказать, чтобы фильмов о супергероях или суперзлодеях в последнее время было мало, да и огромным фанатом фильмов этого жанра я не являюсь, однако пройти мимо очередного воплощения Джокера, да ещё и в исполнении любимого мною Джареда Лето я просто не могла… Для меня, конечно, никто иной как Джек Николсон классический Джокер «не по должности, а по сути», не просто играет, а им является. Составить своё впечатление было необходимо. В итоге красочная, динамичная история о спасении мира плохими парнями (не без психологической подоплеки, конечно) и отличный актёрский состав (как, например, появление харизматичного Уилла Смита, уже сыгравшего однажды плохого-хорошего парня со сверхспособностями — Хенкока), хорошая музыка, ну и конечно Джаред Лето, самый стильно-романтичный Джокер из всех. Хорошее настроение после просмотра этого фильма обеспечено.",
"20","10","Чисто моё мнение:
Отряд самоубийц — шикарный фильм, все ожидания оправдались!
Не слушайте критиков и людей, кто постоянно идёт против общественного мнения, если вам хоть немного интересна подобная тематика — идите и не задумывайтесь даже. Марго Робби, Уилл Смит и Джаред Лето — просто идеально вписались в свои роли. Фильм был 16+ в моём кинотеатре — ничего такого там не увидел, кроме нескольких сцен с явным намёком на попку Харли. Один из лучших фильмов про суперспособности, смотрится легко и интересно.
P.S. также есть сцена после первых титров (после долгих нет, так что не сидите до конца). Всем приятного просмотра!",
"21","8","I won't lie, the movie isn't perfect. A few jokes fall flat, and make those moments awkward, but the rest is superb. The acting was more than I expected out of this movie. In terms of acting, I'll go in order of my top 3: Robbie, Leto, and Smith. All of their portrayals are excellent. El Diablo is a nice surprise, his character made us feel for him, maybe even more-so than the top stars. Leto knocks it out of the park. As a Ledger fanboy, I was dreading his performance, but his character was amazing down to the slightest movement. No amount of dialogue is wasted nor any simple movement is wasted. 
Overall, the movie was great, again, some awkward script, but the action scenes are done extremely well and the acting is great. 8/10. Leagues above Batman v Superman in my opinion.",
"22","8","Y'know I didn't hate this like everyone in the world seems to. The characters were colorful, big. I guess it's a tough task to get them all equal screen time. My suggestion would have been to cut back on the members. Problem solved.
It doesn't quite have the fun of the trailer, which can happen when someone not involved with film cuts something that may not represent the film.
Harley Quinn obviously a stand out, but the BIG ONE for me, was seeing Batman, albeit briefly. Just enough to tantalize. Wetted my appetite for his solo film which can't come soon enough.",
"23","8","Suicide Squad, although first shown as a gritty movie like its predecessors, turned out to be a genuinely fun and exciting movie filled with thrills and occasional spills. The cast had pretty good chemistry, characters interacted with one another very fluidly and pretty much everything made sense and fit together. Although the story was a bit predictable and at times stale, it made up with amazing fighting choreography and mind-blowing special effects. And the joker was legitimately one of the best jokers I have ever seen, even better than jack Nicholson's's portrayal.
Overall recommend this movie to fans and casuals alike.",
"24","8","I was pleasantly surprised with the movie overall despite poor reviews. Nice short backstory on characters that mattered and well acted for the most part. Critics try to over analyze action sci-fi flicks instead of just enjoying a well done film and letting the people judge themselves. You are not watching Gone with the Wind or The Shawshank Redemption. It's a movie based on comic book characters made for adolescent adults to enjoy! Just be happy someone put this together and only hope for a sequel! If I never saw the story between Harley and The Joker continue it would be a real shame! Also the Will Smith performance was not as bad as reported! This isn't a role for Tom Hanks or he would have been cast!",
"25","9","I think a lot of people expected this movie to be a lot different than what it actually was and expected a lot more "Action" or to see the "superheroes" as the villains. As a true DC Comic Fan Girl I have to say that the movie followed the comic, the characters were portrayed as they were in the comic and considering that mesh of the actors this movie is a great watch. I didn't get sucked into the movie, but that doesn't mean it wasn't a good movie. The effects were a bit cheesy in a couple parts but the overall acting quality was good, the story line was a "love story" at the heart and I do feel that the ending was not what the viewers wanted by any means, since the woman isn't killed but as I stated before it does follow the ending of the comic. Personally, if you're a DC Comic fan then no matter what this movie is a great watch, if you're looking for Action and the "superhero" feel then you need to watch Captain America or if you're looking for more of a comedic movie then check out Deadpool but compared to those two Suicide Squad is a 6/10 but compared to the comic and viewing experience its a 9/10.",
"26","8","It's about 8.5 worth of a movie in my book, for some real good acting and well written roles. That is, some well written roles, had it been true with all the characters in this movie, this would've been a real masterpiece, but all too often it did fall short of the quality performance of Will Smith, Margot Robbie and Joel Kinnaman. there are a few other solid performances which didn't get their characters developed enough to shine like these three, especially Viola Davis who's very good as the perfect government agent that sees nothing but getting their job done, but truth is her role is too one dimensional, and there was room for real depth here. Same is true with Jai Courtney and Adewale Akinnuoye-Agbaje. Jared Leto, isn't bad in his role, but it's hardly a role to speak about, and he was hyped from here to forever, so it was a letdown. But the roles that were properly written were really superb and the three actors I mentioned did them great justice. This together with a reasonable plot and solid technical aspects of this production, make it a worth your while movie. But once again this could've been a lot better, and the fact it's not is plain shame.",
"27","9","This is a good, fun movie. If you like comic book movies you will enjoy "Suicide Squad". I'm not sure why many critics think that this great movie was so "terrible". It had great acting from the entire cast, especially Margot Robbie and Will Smith and it had just the right amount of jokes. That being said this movie wasn't perfect either, but no movie is. The story could have been better, but it was still good and worked fine for Suicide Squad. Also, it should have been longer. When you have so many character that haven't been on the big screen before this you need to use as much time as possible to develop their back stories, which wasn't done very well. For the characters with the largest roles like Deadshot or Harley Quinn their are fairly short backstories, while the backstories for characters like Killer Croc are given no screen time. This doesn't take away from the overall film too much, but it is the reason that I couldn't give it a 10/10.",
"28","8","The movie is definitely Fun to watch! I, along with my friends enjoyed the Humour inserted all though some of the dialogues showed that they tried pushing the humour... I loved Joker, Harley Quinn, Headshot as well as El Diablo! I enjoyed the animated Killer Croc. All though I have had mixed feeling about Enchantress i still was disappointed about the enchantress's Brother being animated. Also pushing deadshot as thinking about his Daughter was definitely not working for me or any of my friends... I am happy about seeing Batman. The movie was of great pace.... the action sequence was fun! I enjoyed so many things. David Ayer definitely made the Dark DC theme very appealing!! The dancing fire in El diablo was so cool!! i definitely Love the movie so did my friends! Its not a super awesome movie, but definitely a treat for the eyes!",
"29","8","Every now and then there is a movie with a great cast line up and fun creative out of the box idea. This is that movie. The choreography of this film is great, while they spent their budget well on special VFX the acting is not all that cliché, it's different. The film doesn't waste one second of enjoyable footage with stunning action an amazing soundtrack it shows how dc is really not failing to disappoint it's fans. This movie is good even for people who don't follow comics or watch the other films this movie still amazes random viewers. It's creative aspect follows throughout with good crummy jokes and a threatened appearance. everyone has a good role in the film. Jared Leto kicks it well as the joker showing off his impressive laugh and dark skill set. Margot Robbie plays the mysterious, crazy Harley Quinn who will make anyone want to fall to their knees begging for more. 
No matter what this is not a film to miss.",
"30","8","Suicide Squad is a great action packed fun popcorn movie. The critics out there that are expecting a cinematic masterpiece from a come book film should not be critics. As David Ayer (Director) has stated he made this film for the fans and I believe if you are a fan of comic book films and a DC fan you will really enjoy this film. Margot Robbie stole the spotlight in the film with other great actors like Will smith and Jai Courtney were also very good. Jarrod Leto's Joker was different but still very good. The story is plain and simple which is what the film needed with such a large cast and the villain was a great choice. If you enjoy a good action film with interesting characters you will enjoy this film.",
"31","9","Affleck as Bruce Wayne/Batman was pure awesome and dark. You can see he's traumatized by the events in the past, and he has some fantastic lines in general (Yes we see the whole parents thing again). Nobody should really be surprised that he was good with the role considering he's a solid actor, but I thought he was great. Versus Bale? That's a interesting question, because Affleck definitely regards Batman as a permanent part of his persona, while in Nolan series he eventually doesn't want Batman. In combat he's pretty much everything everyone would hope for from a film with Batman. One comment on the latest BvS trailer said he fought like the Arkham video games from a scene they showed. That's a good comparison. He's incredible in fights. Also the way Snyder records him in action, you can actually see him fighting unlike the Nolan films, which I'd imagine would make many people happy. He also gets a chance to use his detective skills, do not worry. Also his relationship with Irons, who plays Alfred, is just wonderful in general. Irons was exceptional in the role (Its Jeremy Irons for Christ's sake, of course he nailed the role) gets some witty lines and also gets pretty emotional later on. He didn't get a lot of screen time, just enough to be effective. Always passing advice to Batman.",
"32","10","Boy oh Boy....this was a great experience....I have to say after Man of Steel (which was okay but by no means great), I didn't have much expectations from this, and to top it off the castings for this film had set the comic book fans on fire. But tell you what, this is epic. Some people are even calling it better than the Dark Knight, while I wouldn't go that far, I would still call this a complete package. Affleck's Batman is AMAZING. His Bruce Wayne is not as cool and casual as Christian Bale's but he doesn't need to considering this is a relatively old Batman who has seen some very dark times. His partnership with Jeremy Irons adds some much needed lightness to the movie. Cavill delivered the dialogues during the fight scene with Batman in a near perfect way. Gal Gadot had a much bigger role to play than seen in the trailers. And Jesse was good in a complex way. Fans have to understand that his Luthor is not muscular as compared to what we have seen in previous Superman movies His Luthor is an evil genius who does a great job of pitting the two giants against each other. Jesse played the role to his strengths as he should have. Contrary to the popular perception(especially after the third trailer) that the whole movie was spoil-ed, the plot was way more deeper than we imagined. The only issues were a fight scene where CGI looked dull and maybe, just maybe a bit over stuffing. But overall, this is EPIC.",
"33","","",
"34","","",
"35","","",
"36","","",
"37","","",
"38","","",
"39","","",
"40","","",
"41","","",
"42","","",
"43","","",
"44","","",
"45","","",
"46","","",
"47","","",
"48","","",
"49","","",
"50","","",
"51","","",
"52","","",
"53","","",
"54","","",
"55","","",
"56","","",
"57","","",
"58","","",
"59","","",
"60","","",
"61","","",
"62","","",
"63","","",
"64","","",
"65","","",
"66","","",
"67","","",
"68","","",
"69","","",
"70","","",
"71","","",
"72","","",
"73","","",
"74","","",
"75","","",
"76","","",
"77","","",
"78","","",
"79","","",
"80","","",
"81","","",
"82","","",
"83","","",
"84","","",
"85","","",
"86","","",
"87","","",
"88","","",
"89","","",
"90","","",
"91","","",
"92","","",
"93","","",
"94","","",
"95","","",
"96","","",
"97","","",
"98","","",
"99","","",
"100","","",
"101","","",
"102","","",
"103","","",
"104","","",
"105","","",
"106","","",
"107","","",
"108","","",
"109","","",
"110","","",
