id,created,subject,posts_count,forum_id,
796,2016-12-23 07:56:05.323650 +07:00,Development,2,79,
1040,2016-12-27 00:43:34.455286 +07:00,Architecture,1,18,
308,2016-12-21 02:57:02.141729 +07:00,Hello from Ghana,3,127,
1129,2016-12-27 22:34:15.490753 +07:00,info,1,144,
323,2016-12-21 03:15:08.635758 +07:00,Wrong Hyperlink URL,2,12,
1560,2017-01-04 20:43:42.834810 +07:00,Current Initiative - Moderation Team Expansion,3,145,
2179,2017-01-20 01:31:04.030788 +07:00,Food in America,7,14,
368,2016-12-21 04:35:54.290841 +07:00,A great step forward,9,81,
106,2016-12-18 10:45:15.549000 +07:00,Translation Forum Rules and Guidelines,1,126,
105,2016-12-18 10:45:07.980000 +07:00,Welcome to Digital Art!,1,95,
516,2016-12-21 15:27:38.362466 +07:00,Contemporary Arts,1,17,
2176,2017-01-20 00:41:50.059532 +07:00,Name error in a certificate of an american,5,12,
1042,2016-12-27 00:57:15.082810 +07:00,Few suggestions,11,11,
707,2016-12-22 15:30:59.383097 +07:00,Waste Treatment,6,30,
1966,2017-01-15 13:18:36.507435 +07:00,We choose america Where do we live？,4,14,
348,2016-12-21 04:05:02.030990 +07:00,Fiction for a better world,9,98,
822,2016-12-23 13:06:39.899952 +07:00,American skillset DB,1,144,
432,2016-12-21 08:02:23.667557 +07:00,nothing?,3,101,
4529,2017-03-25 19:33:30.642114 +07:00,Transgender Rights in America,4,14,
1592,2017-01-05 14:42:04.488055 +07:00,Ministry of sport,1,14,
2706,2017-02-12 03:19:11.278014 +07:00,About Govern and Corruption,12,14,
4451,2017-03-23 03:41:08.376795 +07:00,Taboo: Religious Education,10,78,
2902,2017-02-23 09:14:26.470716 +07:00,Structure of America?,1,14,
4885,2017-04-13 21:19:34.771393 +07:00,America Intelligence Center [AIC],9,82,
375,2016-12-21 04:43:09.174427 +07:00,Introduction,1,127,
276,2016-12-21 02:12:44.694877 +07:00,Welcome everyone!,10,127,
979,2016-12-26 00:02:51.958809 +07:00,Love Universal Save America (LUSA),1,127,
1925,2017-01-14 02:30:27.295306 +07:00,Hello from Serbia,2,127,
3052,2017-03-04 15:19:56.007762 +07:00,Good News,7,15,
2905,2017-02-23 14:31:26.689494 +07:00,bacaruda,1,24,
5090,2017-04-27 16:43:10.013381 +07:00,A Call for International Assistance with Space Debris!,1,14,
279,2016-12-21 02:17:34.034394 +07:00,E - teaching / online courses,42,78,
3031,2017-03-01 20:12:28.546529 +07:00,Phicksur here with today's headlines (March 1st edition),21,14,
717,2016-12-22 18:40:23.906125 +07:00,Hello from Paris :),2,127,
642,2016-12-22 02:28:09.659087 +07:00,Feature request: Collaboration tools,17,11,
306,2016-12-21 02:56:17.518732 +07:00,Techno-Medicine,2,134,
208,2016-12-20 20:15:11.163529 +07:00,Forum FAQ,1,127,
763,2016-12-23 01:44:58.960689 +07:00,Questions,3,14,
296,2016-12-21 02:32:07.247152 +07:00,Run: Hello World,1,127,
113,2016-12-18 10:56:53.405000 +07:00,Welcome to History!,1,100,
319,2016-12-21 03:09:35.309006 +07:00,Preventive Medicine,3,134,
293,2016-12-21 02:27:30.091576 +07:00,Hello everyone.,1,127,
4530,2017-03-25 20:39:53.699373 +07:00,A little question about our body,2,30,
4728,2017-04-04 22:04:28.738976 +07:00,What is NGO America?,30,14,
4752,2017-04-06 06:16:12.252365 +07:00,Obtaining a Passport Visa Driving license,1,144,
2668,2017-02-08 13:05:33.989754 +07:00,AMERICA KIDS,1,18,
1454,2017-01-02 12:07:27.128590 +07:00,Code of Ethics,16,132,
663,2016-12-22 06:21:13.314822 +07:00,Hello,3,127,
364,2016-12-21 04:31:42.502757 +07:00,Very well done.,1,14,
1216,2016-12-28 21:38:47.658621 +07:00,Question,1,15,
613,2016-12-22 00:09:21.034040 +07:00,I am a parasitologist,5,30,
253,2016-12-21 00:15:23.725802 +07:00,GLOBAL Staff,1,92,
554,2016-12-21 19:13:50.588653 +07:00,Hola! Hello! Olá!,1,127,
2163,2017-01-19 22:01:55.406757 +07:00,Certificate,2,11,
2257,2017-01-21 02:23:59.847072 +07:00,Hola desde Nicaragua Centro America,2,127,
536,2016-12-21 17:30:38.192469 +07:00,Old forum?,3,144,
1987,2017-01-16 08:27:04.969904 +07:00,marina boriosi,2,144,
759,2016-12-23 00:59:52.886579 +07:00,Mixed work,2,97,
369,2016-12-21 04:37:59.896490 +07:00,Hey there,2,127,
1908,2017-01-13 09:10:06.728251 +07:00,America IS the real deal.,11,14,
2999,2017-02-28 01:19:05.678039 +07:00,Prototype/test-bed station,3,14,
449,2016-12-21 08:53:47.684495 +07:00,Hello from Colombia,2,127,
662,2016-12-22 06:12:28.373458 +07:00,Capital's name.,26,14,
1066,2016-12-27 04:26:19.745658 +07:00,Navy Weapons Operators allowed?,5,14,
2986,2017-02-26 19:10:35.279335 +07:00,Việt Nam - Xin Chào !,2,127,
2290,2017-01-22 04:05:08.078233 +07:00,American language,2,14,
1708,2017-01-08 16:25:05.718140 +07:00,How can I change my password?,3,14,
2424,2017-01-24 20:43:48.152042 +07:00,光之訊息的傳遞,1,144,
240,2016-12-20 22:28:10.200248 +07:00,Welcome to the Space Health Hazards forum.,1,136,
1837,2017-01-12 02:18:56.161967 +07:00,Free thinking,3,14,
683,2016-12-22 09:48:48.361427 +07:00,HELLO FROM INDIA,2,127,
3327,2017-03-07 15:52:36.767290 +07:00,东英吉利大学学历文凭Q/微86614733【UEA毕业证书成绩单】东英吉利大学学历学位认证/英国学位证University of East Anglia,1,144,
321,2016-12-21 03:12:39.753866 +07:00,Why did you join America?,62,14,
4926,2017-04-17 23:34:12.955702 +07:00,MERHABA,3,127,
539,2016-12-21 17:58:59.216714 +07:00,问问，怎么移民呢？,4,35,
2780,2017-02-21 07:06:31.456642 +07:00,An App For America?,2,15,
209,2016-12-20 20:16:38.502060 +07:00,Forum FAQ,1,92,
604,2016-12-21 23:38:28.189209 +07:00,Hello everyone,2,127,
336,2016-12-21 03:38:56.987297 +07:00,Hello from Venezuela!,1,127,
472,2016-12-21 11:07:12.900645 +07:00,Hello from Singapore! :),2,127,
392,2016-12-21 05:32:21.650412 +07:00,Welcome from Germany,2,127,
280,2016-12-21 02:17:34.599822 +07:00,My Forum Feedback thus far,3,11,
884,2016-12-24 01:50:52.908832 +07:00,Construction of America,29,32,
436,2016-12-21 08:08:47.659900 +07:00,Hello from China,6,127,
1277,2016-12-29 12:03:31.964622 +07:00,Importance of a scientist,1,14,
1615,2017-01-06 00:18:57.456404 +07:00,Hello Americans,2,127,
1820,2017-01-11 08:50:01.087116 +07:00,中国老乡找组织，Q群514836394,2,144,
4813,2017-04-09 23:37:00.019278 +07:00,Equity and Unity in Economics,3,72,
1818,2017-01-11 07:59:19.516681 +07:00,日常水一水，中国小伙伴嗨起来,2,144,
310,2016-12-21 02:58:24.459845 +07:00,Cool!,1,127,
2292,2017-01-22 06:35:15.047087 +07:00,Hello everyone,2,127,
709,2016-12-22 16:10:18.629612 +07:00,Hola de España,1,127,
712,2016-12-22 17:35:20.708863 +07:00,Hi everyone from Shanghai,1,127,
1796,2017-01-10 23:41:54.229104 +07:00,报个道吧！,2,144,
366,2016-12-21 04:32:25.888643 +07:00,Rapid response,3,92,
376,2016-12-21 04:43:43.818561 +07:00,Hello from Morroco,1,127,
3943,2017-03-15 01:01:23.322631 +07:00,Civic.America Activity Report: 12 March,8,145,
748,2016-12-22 23:54:18.518126 +07:00,Help for Ministry of Justice,1,104,
956,2016-12-25 09:47:36.451314 +07:00,When America will be a real country?,12,14,
1836,2017-01-12 02:12:40.114634 +07:00,Free Thinking,2,144,
711,2016-12-22 16:55:00.985142 +07:00,[BUG] Big Topics,2,12,
826,2016-12-23 13:08:33.681488 +07:00,American skillset DB,1,144,
2598,2017-02-04 03:41:08.765034 +07:00,"Hello, John Skieswanne here",5,127,
394,2016-12-21 05:34:15.567829 +07:00,Flag Design,1,14,
373,2016-12-21 04:42:53.414995 +07:00,Travel taxation?,3,130,
4569,2017-03-28 23:06:01.583836 +07:00,Welcome to the Cyber security Forum,1,151,
4658,2017-04-02 06:55:03.126938 +07:00,test,2,129,
315,2016-12-21 03:07:03.190531 +07:00,hello from Greece..we hope the best!,1,127,
2275,2017-01-21 16:51:01.125294 +07:00,Religious books are the best guide to human being.,13,103,
410,2016-12-21 06:44:33.081563 +07:00,Hello from  colombia,2,127,
3639,2017-03-08 06:49:02.736100 +07:00,美国办理!!AAU毕业证书文凭Q_微信729926040_密苏里大学哥伦比亚分校毕业证成绩单*购买美国大学文凭学位证书全套制作*真实学历认证*回（归）国人员证明*制造美国假文凭假毕业证原版1:1,1,144,
2536,2017-01-31 19:56:30.205588 +07:00,TELL US: Which languages ​​would you like to learn?,18,14,
382,2016-12-21 04:57:14.222697 +07:00,"Hello from Olympia, WA, USA!",7,127,
2422,2017-01-24 20:22:04.782532 +07:00,Advice for America University,6,78,
1471,2017-01-02 21:40:28.800510 +07:00,Ruben Argentina,2,127,
1929,2017-01-14 05:11:25.758347 +07:00,Dangers of a space station - biological,5,83,
676,2016-12-22 08:56:28.984833 +07:00,Forum Restart,1,103,
327,2016-12-21 03:27:47.619449 +07:00,Medicine 2.0,1,134,
934,2016-12-25 00:27:28.283115 +07:00,Hello from Austria,3,127,
397,2016-12-21 05:45:52.355689 +07:00,"Hello friends! From MT, USA",3,127,
4454,2017-03-23 06:22:46.948854 +07:00,Gaming methods and use.,1,150,
114,2016-12-18 10:57:29.941000 +07:00,FIRST TRANSLATION: AMERICA FORUM RULES,14,126,
594,2016-12-21 22:56:02.408174 +07:00,Hello fellow Americans,1,127,
463,2016-12-21 10:10:53.435582 +07:00,안녕하세요. Hello from Korea :),2,127,
1190,2016-12-28 11:43:03.045703 +07:00,how about that? The Discrimination?,7,14,
1967,2017-01-15 13:21:07.955467 +07:00,Ministry of War,11,14,
1587,2017-01-05 11:52:21.942479 +07:00,Hello Americans!,3,127,
390,2016-12-21 05:30:40.732713 +07:00,Hello from an American in Brazil,1,127,
1172,2016-12-28 05:46:00.284027 +07:00,Bienvenidos,1,127,
1759,2017-01-09 21:17:56.035450 +07:00,America Certificate,2,14,
674,2016-12-22 08:16:41.472715 +07:00,蛤蛤,6,127,
380,2016-12-21 04:50:14.332129 +07:00,Hello from Guatemala,1,127,
897,2016-12-24 04:49:12.825246 +07:00,Saluton from Berlin,3,127,
823,2016-12-23 13:07:09.214709 +07:00,American skillset DB,1,144,
844,2016-12-23 15:33:54.743785 +07:00,China,2,127,
1152,2016-12-28 01:43:38.027583 +07:00,saludo,1,127,
1418,2017-01-01 18:42:15.557890 +07:00,My experience (share your experience),4,14,
4794,2017-04-07 22:09:48.810439 +07:00,Sell cvv all type here,1,144,
983,2016-12-26 00:58:23.228407 +07:00,Steps towards a type 1 civilisation,5,14,
921,2016-12-24 16:36:43.267689 +07:00,Happy Holidays,1,14,
362,2016-12-21 04:26:52.622085 +07:00,"Hello from Las Vegas, NV, USA",1,127,
908,2016-12-24 11:01:32.287292 +07:00,american,1,127,
806,2016-12-23 11:03:36.938827 +07:00,Constitution Idea in Development,4,132,
1988,2017-01-16 08:27:22.273796 +07:00,marina boriosi,2,144,
558,2016-12-21 19:34:28.454525 +07:00,Greetings from Poland! :),1,127,
1609,2017-01-05 23:42:24.417259 +07:00,Sharing your America ID Number,103,9,
2259,2017-01-21 03:35:28.074887 +07:00,link to suggest one Ministry send to Facebook,3,14,
3559,2017-03-08 06:31:52.108479 +07:00,美国办理!!SBU毕业证书文凭Q_微信729926040_纽约州立大学石溪分校毕业证成绩单*购买美国大学文凭学位证书全套制作*真实学历认证*回（归）国人员证明*制造美国假文凭假毕业证原版1:1,1,144,
2978,2017-02-26 09:18:00.782568 +07:00,CALL OUT: Country Names in Native Language,2,126,
343,2016-12-21 03:50:15.407930 +07:00,Knowledge Library,7,32,
1799,2017-01-11 00:38:47.949704 +07:00,Address?,1,14,
1775,2017-01-10 09:38:15.031645 +07:00,I Can't Stand it Anymore!!!,10,11,
842,2016-12-23 13:33:31.026172 +07:00,Citizen Certificates,2,11,
530,2016-12-21 16:30:19.755007 +07:00,Hello from China,2,127,
1765,2017-01-10 02:11:31.645018 +07:00,Hello from Romania!,2,127,
577,2016-12-21 21:24:57.352041 +07:00,Türkiyeden Selamlar,2,127,
1124,2016-12-27 22:30:20.960115 +07:00,info,2,144,
2098,2017-01-19 04:23:46.121514 +07:00,Holocene Calendar,3,14,
2151,2017-01-19 20:07:23.934607 +07:00,12th ministry,4,14,
524,2016-12-21 15:54:24.246572 +07:00,Check the posting rules and regulation,2,11,
5162,2017-04-30 14:05:59.874113 +07:00,Dual Citizenship for those countries Does n't have it,1,34,
724,2016-12-22 19:50:58.741244 +07:00,Escalation Process for Member Reporter Forum Bugs,1,92,
5080,2017-04-26 23:29:33.197395 +07:00,CHRONICLES - Get Ready for Life in Space!,6,9,
1645,2017-01-06 13:26:55.893538 +07:00,Writer,1,98,
363,2016-12-21 04:29:54.658006 +07:00,Hello from Spain. Hola desde España,1,127,
1933,2017-01-14 09:11:48.215032 +07:00,Space National tax,13,14,
1296,2016-12-29 17:14:16.419463 +07:00,Crisis Management and Communication,2,83,
489,2016-12-21 13:09:35.464054 +07:00,Hello from Italy,3,127,
573,2016-12-21 21:06:46.717438 +07:00,Homo Posterus: After Homo Sapiens,3,14,
701,2016-12-22 12:42:24.549103 +07:00,hello everyone～,2,127,
220,2016-12-20 22:02:30.765188 +07:00,Welcome to the Ministry of Finance forum.,1,71,
1290,2016-12-29 14:41:39.844393 +07:00,More suggests,2,104,
477,2016-12-21 12:01:07.611004 +07:00,hello from england. uk. :),3,127,
322,2016-12-21 03:12:57.626421 +07:00,Forum Feedback/Suggestions List,56,11,
1025,2016-12-26 17:43:19.722957 +07:00,the Constitution and laws,2,14,
535,2016-12-21 17:18:39.888176 +07:00,Why we are choose 000-0000000000-000 as ID?,2,14,
2045,2017-01-17 19:12:59.622690 +07:00,Loan offer,3,144,
1237,2016-12-29 01:01:42.575834 +07:00,American citizan,5,12,
2354,2017-01-23 23:30:54.464775 +07:00,UWB speeding up technologies,1,22,
1444,2017-01-02 05:25:59.405000 +07:00,Ministry of Leisure & Entertainment - For our own sake,1,88,
2016,2017-01-16 22:45:11.327221 +07:00,Economic funds,4,72,
3872,2017-03-12 17:26:30.367409 +07:00,ORDER YOUR DOCUMENT VIA CALL OR TEXT OR WHATSAPP  +1(202) 570-4495,1,144,
1939,2017-01-14 17:17:15.436942 +07:00,when,3,14,
2473,2017-01-28 04:50:36.163455 +07:00,MASONIC LODGE AMERICA NO. 1,2,99,
513,2016-12-21 15:14:42.054210 +07:00,Resource Trade,3,130,
2763,2017-02-19 04:52:17.770497 +07:00,Territory,33,14,
787,2016-12-23 06:00:18.120117 +07:00,Scavenger,3,72,
538,2016-12-21 17:52:05.349559 +07:00,Depict and resource links,4,95,
1944,2017-01-15 00:11:15.316434 +07:00,Culture,2,127,
3700,2017-03-09 08:58:22.507645 +07:00,办【美国毕业证】～康涅狄格大学UCONN毕业证文凭【Q\微869520616】美国真实可查学历认证成绩单美国文凭学历文凭University of Connecticut,1,144,
1445,2017-01-02 05:40:01.534408 +07:00,Free education for all American people,4,78,
2191,2017-01-20 03:30:18.982999 +07:00,مرحبا,1,144,
606,2016-12-22 00:01:50.836526 +07:00,Hi from Colombia! Americans!,12,127,
1357,2016-12-31 00:47:25.056050 +07:00,At least it's not just a thought,1,14,
3435,2017-03-07 17:23:58.064303 +07:00,英国MMU毕业证Q/微信834065630办英国曼彻斯特城市大学毕业证MMU文凭成绩单学历认证 Manchester Metropolitan University,1,144,
2099,2017-01-19 04:32:21.887026 +07:00,Greetings from Slovenia!,1,127,
469,2016-12-21 10:56:39.852602 +07:00,Mobile site kudo's,3,11,
2024,2017-01-17 03:10:34.204345 +07:00,Hello from Peru,2,127,
2765,2017-02-19 09:55:39.032920 +07:00,Chapter Advocates / Moderators: For your Action,2,92,
505,2016-12-21 14:28:43.023093 +07:00,Biophysics,8,29,
1183,2016-12-28 10:20:54.186080 +07:00,MYE Rhetoric and Dialectics,1,77,
1880,2017-01-13 00:20:42.865159 +07:00,Hispany Community,2,28,
510,2016-12-21 14:42:23.370109 +07:00,Hello from Spain,1,127,
227,2016-12-20 22:16:04.380785 +07:00,Welcome to the Education forum.,3,78,
714,2016-12-22 17:51:07.963866 +07:00,Hi from Turkey 🇹🇷🇹🇷,1,127,
441,2016-12-21 08:37:42.974147 +07:00,RSS,2,12,
658,2016-12-22 05:13:39.167297 +07:00,Suggestions for new Ministry's,3,14,
498,2016-12-21 13:34:32.872908 +07:00,East versus West,2,18,
357,2016-12-21 04:20:51.032718 +07:00,New Entertainment Ideas,3,104,
4455,2017-03-23 09:30:51.852250 +07:00,Suggest to develop Chinese version of America.space,6,11,
3279,2017-03-07 15:06:29.132227 +07:00,阿大毕业证｜阿大文凭认证｜Q微信1534584698★文凭咨询★阿德雷德大学阿德莱德大学学历认证公证｜阿大成绩单｜offerAdelaide University,2,144,
994,2016-12-26 04:48:40.747444 +07:00,Topics I have noticed,3,14,
298,2016-12-21 02:34:50.636115 +07:00,Hello!,1,127,
1271,2016-12-29 09:31:54.194154 +07:00,I want <x> class for Americans,1,77,
1456,2017-01-02 12:27:57.851659 +07:00,Best wishes,3,127,
778,2016-12-23 04:18:52.782307 +07:00,∠( ᐛ 」∠)＿dalao们好,6,14,
578,2016-12-21 21:25:27.917825 +07:00,Hola Muy Buenos dias Desde la vega,1,127,
885,2016-12-24 01:52:18.359543 +07:00,Hello from germany,4,127,
821,2016-12-23 13:06:09.229015 +07:00,American skillset DB,1,144,
947,2016-12-25 06:13:02.007367 +07:00,Discussion-France,2,14,
2293,2017-01-22 06:41:28.455479 +07:00,Security,3,14,
482,2016-12-21 12:33:25.336832 +07:00,Hello and happy holidays!,2,127,
503,2016-12-21 14:18:14.018690 +07:00,Folklore,5,101,
3000,2017-02-28 01:34:40.391168 +07:00,American Declaration of Existence,1,14,
1076,2016-12-27 06:48:23.038491 +07:00,Warm greetings from Denmark,3,127,
1793,2017-01-10 22:51:14.931685 +07:00,Comunicação Social AMERICA BR,6,144,
3974,2017-03-16 13:21:50.854742 +07:00,"Buy registered  passport, drivers license, id card, ielts, WhatsApp: +1(678) 653-6145",1,144,
4637,2017-03-31 20:28:23.467368 +07:00,Facing natural calamities like earthquackes& volcanoes floods etc.our american':s problems,12,14,
4795,2017-04-07 22:10:50.072191 +07:00,Sell credit card good quality,1,144,
454,2016-12-21 09:23:14.759230 +07:00,Hello,2,127,
335,2016-12-21 03:37:32.373099 +07:00,Hello from Austria,2,127,
898,2016-12-24 06:08:12.725227 +07:00,Governmet,3,14,
1339,2016-12-30 15:15:49.913407 +07:00,Sciencefiction-Futurology Praxis of America,2,99,
345,2016-12-21 03:52:21.179011 +07:00,Forum FAQ,1,10,
4827,2017-04-10 21:54:45.355391 +07:00,where invest money,3,144,
2193,2017-01-20 03:31:01.315810 +07:00,مرحبا,2,127,
553,2016-12-21 19:08:51.869124 +07:00,Frith Americans!,1,127,
2302,2017-01-22 09:21:00.376700 +07:00,Hello from China,3,127,
534,2016-12-21 17:04:59.716482 +07:00,Symbolism,8,14,
4927,2017-04-18 00:19:09.921592 +07:00,transforming money into nature,4,15,
398,2016-12-21 05:46:38.667623 +07:00,We will need many embassies on earth.,3,14,
657,2016-12-22 05:05:10.709649 +07:00,Americans in Brazil,2,127,
2164,2017-01-19 22:02:12.149301 +07:00,Digitising the noosphere - clarification,2,14,
1800,2017-01-11 00:38:59.098849 +07:00,Hola des de Catalunya! :D,1,127,
563,2016-12-21 20:12:18.078190 +07:00,Hello from USA,1,127,
635,2016-12-22 01:32:27.039318 +07:00,Test,1,129,
2899,2017-02-23 07:02:24.697855 +07:00,Collaborative Joke,2,128,
3287,2017-03-07 15:07:53.662025 +07:00,UNE毕业证｜UNE文凭认证｜Q微信1534584698★UNE文凭咨询★UNE新英格兰大学学历认证公证｜UNE成绩单｜offerThe University of New England,2,144,
693,2016-12-22 10:47:50.000210 +07:00,all american. love u,1,127,
751,2016-12-23 00:14:22.747480 +07:00,Official Salutation of America,4,14,
1428,2017-01-01 22:51:53.228397 +07:00,Hello from Uruguay,2,127,
948,2016-12-25 06:17:27.953642 +07:00,Thanks to the America Team,1,14,
1936,2017-01-14 14:17:14.822575 +07:00,Equality and selfless,3,14,
486,2016-12-21 12:50:56.971070 +07:00,hello from azerbaijan,2,127,
1220,2016-12-28 22:18:50.616565 +07:00,Howdy from Canada,4,127,
541,2016-12-21 18:07:23.917445 +07:00,Eat plasma and crap supernova?,9,128,
4894,2017-04-15 15:02:29.783869 +07:00,"Purchase high quality  fake and real passports,id cards,driver license online  (info@smartdocplus.com)",1,144,
512,2016-12-21 15:07:43.202325 +07:00,Alphacosmos from Spain,1,127,
4570,2017-03-29 00:07:54.924198 +07:00,Forum features,3,15,
525,2016-12-21 15:58:09.372275 +07:00,Hello from ROMANIA!,2,127,
887,2016-12-24 02:11:24.573745 +07:00,"Heey , From Morocco",1,127,
689,2016-12-22 10:37:47.850136 +07:00,Hello from Shanghai!,2,127,
1148,2016-12-28 01:00:37.407452 +07:00,Hello from Perú - Hola de Perú,1,127,
833,2016-12-23 13:11:48.579965 +07:00,American skillset DB,1,130,
1318,2016-12-30 04:13:01.895634 +07:00,Accessibility for disabled,4,14,
4456,2017-03-23 10:55:56.594767 +07:00,What would a case be between 2 people.,2,26,
1122,2016-12-27 22:25:52.696362 +07:00,info,1,144,
2057,2017-01-18 04:00:38.621448 +07:00,Working in google docs with track changes,2,126,
1263,2016-12-29 05:44:59.854373 +07:00,"Hello from the USA,",2,127,
1915,2017-01-13 19:11:24.817129 +07:00,Idea for the 12th Ministry,1,14,
274,2016-12-21 02:10:25.708511 +07:00,"Hello, Americans!",6,127,
2127,2017-01-19 14:49:45.978424 +07:00,America now focusing on micronation status.,2,14,
824,2016-12-23 13:07:46.809448 +07:00,American skillset DB,1,144,
2950,2017-02-24 08:50:06.597054 +07:00,America 4 months on. Your Thoughts?,14,14,
899,2016-12-24 07:03:51.684468 +07:00,Greetings from Sweden,1,127,
961,2016-12-25 12:05:57.788635 +07:00,Visit with Dr A.,2,15,
626,2016-12-22 00:48:17.063616 +07:00,Electric Sheep,8,95,
2046,2017-01-17 19:14:01.258473 +07:00,Loan offer,3,144,
598,2016-12-21 23:13:00.454692 +07:00,u.n.o. membership,2,68,
